word,documents,data
"""Cookie",4,"[['httpauth.gr#primary.txt', 1], ['httpauth.gr.txt', 1], ['httpswww.auth.gr.txt', 1], ['httpswww.auth.gren.txt', 1]]"
"""Ελλάδα",4,"[['httpauth.gr#primary.txt', 3], ['httpauth.gr.txt', 3], ['httpswww.auth.gr.txt', 3], ['httpswww.auth.gren.txt', 3]]"
(17,3,"[['httpauth.gr#primary.txt', 1], ['httpauth.gr.txt', 1], ['httpswww.auth.gr.txt', 1]]"
(Aristotelian,1,"[['httpswww.auth.gren.txt', 11]]"
(Single,1,"[['httpsmy.auth.gr.txt', 1]]"
"(Ιατρικής,",3,"[['httpauth.gr#primary.txt', 1], ['httpauth.gr.txt', 1], ['httpswww.auth.gr.txt', 1]]"
(Ραδιοηλεκτρολογία)”...,3,"[['httpauth.gr#primary.txt', 3], ['httpauth.gr.txt', 3], ['httpswww.auth.gr.txt', 3]]"
-Taras,1,"[['httpswww.auth.gren.txt', 5]]"
-Yerevan,1,"[['httpswww.auth.gren.txt', 4]]"
.auth,1,"[['httpsmy.auth.gr.txt', 1]]"
05,4,"[['httpauth.gr#primary.txt', 1], ['httpauth.gr.txt', 1], ['httpswww.auth.gr.txt', 1], ['httpswww.auth.gren.txt', 4]]"
06,1,"[['httpswww.auth.gren.txt', 2]]"
08,3,"[['httpauth.gr#primary.txt', 2], ['httpauth.gr.txt', 2], ['httpswww.auth.gr.txt', 2]]"
10,4,"[['httpauth.gr#primary.txt', 4], ['httpauth.gr.txt', 4], ['httpswww.auth.gr.txt', 4], ['httpswww.auth.gren.txt', 2]]"
11,3,"[['httpauth.gr#primary.txt', 2], ['httpauth.gr.txt', 2], ['httpswww.auth.gr.txt', 2]]"
12,3,"[['httpauth.gr#primary.txt', 3], ['httpauth.gr.txt', 3], ['httpswww.auth.gr.txt', 3]]"
13,3,"[['httpauth.gr#primary.txt', 2], ['httpauth.gr.txt', 2], ['httpswww.auth.gr.txt', 2]]"
17,3,"[['httpauth.gr#primary.txt', 2], ['httpauth.gr.txt', 2], ['httpswww.auth.gr.txt', 2]]"
1821”...,3,"[['httpauth.gr#primary.txt', 4], ['httpauth.gr.txt', 4], ['httpswww.auth.gr.txt', 4]]"
2016,1,"[['httpswww.auth.gren.txt', 9]]"
2020,3,"[['httpauth.gr#primary.txt', 12], ['httpauth.gr.txt', 12], ['httpswww.auth.gr.txt', 12]]"
2020-2021,3,"[['httpauth.gr#primary.txt', 6], ['httpauth.gr.txt', 6], ['httpswww.auth.gr.txt', 6]]"
"2021""",4,"[['httpauth.gr#primary.txt', 26], ['httpauth.gr.txt', 26], ['httpswww.auth.gr.txt', 26], ['httpswww.auth.gren.txt', 5]]"
2021-22...,3,"[['httpauth.gr#primary.txt', 24], ['httpauth.gr.txt', 24], ['httpswww.auth.gr.txt', 24]]"
22,1,"[['httpswww.auth.gren.txt', 2]]"
23,3,"[['httpauth.gr#primary.txt', 4], ['httpauth.gr.txt', 4], ['httpswww.auth.gr.txt', 4]]"
24,3,"[['httpauth.gr#primary.txt', 1], ['httpauth.gr.txt', 1], ['httpswww.auth.gr.txt', 1]]"
27,3,"[['httpauth.gr#primary.txt', 3], ['httpauth.gr.txt', 3], ['httpswww.auth.gr.txt', 3]]"
28,3,"[['httpauth.gr#primary.txt', 1], ['httpauth.gr.txt', 1], ['httpswww.auth.gr.txt', 1]]"
29,3,"[['httpauth.gr#primary.txt', 2], ['httpauth.gr.txt', 2], ['httpswww.auth.gr.txt', 2]]"
295,3,"[['httpauth.gr#primary.txt', 1], ['httpauth.gr.txt', 1], ['httpswww.auth.gr.txt', 1]]"
3.0,4,"[['httpauth.gr#primary.txt', 1], ['httpauth.gr.txt', 1], ['httpswww.auth.gr.txt', 1], ['httpswww.auth.gren.txt', 1]]"
33.4,1,"[['httpswww.auth.gren.txt', 1]]"
40,1,"[['httpswww.auth.gren.txt', 1]]"
407/80,3,"[['httpauth.gr#primary.txt', 3], ['httpauth.gr.txt', 3], ['httpswww.auth.gr.txt', 3]]"
430.000,3,"[['httpauth.gr#primary.txt', 1], ['httpauth.gr.txt', 1], ['httpswww.auth.gr.txt', 1]]"
45,3,"[['httpauth.gr#primary.txt', 1], ['httpauth.gr.txt', 1], ['httpswww.auth.gr.txt', 1]]"
4ο,3,"[['httpauth.gr#primary.txt', 2], ['httpauth.gr.txt', 2], ['httpswww.auth.gr.txt', 2]]"
61,3,"[['httpauth.gr#primary.txt', 1], ['httpauth.gr.txt', 1], ['httpswww.auth.gr.txt', 1]]"
A.Π.Θ.,3,"[['httpauth.gr#primary.txt', 1], ['httpauth.gr.txt', 1], ['httpswww.auth.gr.txt', 1]]"
ACCEPT,4,"[['httpauth.gr#primary.txt', 1], ['httpauth.gr.txt', 1], ['httpswww.auth.gr.txt', 1], ['httpswww.auth.gren.txt', 1]]"
ALL,4,"[['httpauth.gr#primary.txt', 1], ['httpauth.gr.txt', 1], ['httpswww.auth.gr.txt', 1], ['httpswww.auth.gren.txt', 1]]"
ARISTOTLE,1,"[['httpswww.auth.gren.txt', 3]]"
AUTH,1,"[['httpswww.auth.gren.txt', 7]]"
AUTHnet,1,"[['httpsmy.auth.gr.txt', 1]]"
Academic,1,"[['httpswww.auth.gren.txt', 4]]"
Accessibility,1,"[['httpswww.auth.gren.txt', 1]]"
Administration,1,"[['httpswww.auth.gren.txt', 23]]"
Administrative,1,"[['httpswww.auth.gren.txt', 16]]"
All,4,"[['httpauth.gr#primary.txt', 1], ['httpauth.gr.txt', 1], ['httpswww.auth.gr.txt', 1], ['httpswww.auth.gren.txt', 1]]"
AllManage,4,"[['httpauth.gr#primary.txt', 1], ['httpauth.gr.txt', 1], ['httpswww.auth.gr.txt', 1], ['httpswww.auth.gren.txt', 1]]"
"All”,",4,"[['httpauth.gr#primary.txt', 1], ['httpauth.gr.txt', 1], ['httpswww.auth.gr.txt', 1], ['httpswww.auth.gren.txt', 1]]"
Always,4,"[['httpauth.gr#primary.txt', 1], ['httpauth.gr.txt', 1], ['httpswww.auth.gr.txt', 1], ['httpswww.auth.gren.txt', 1]]"
April,1,"[['httpswww.auth.gren.txt', 7]]"
Archaeological,1,"[['httpswww.auth.gren.txt', 4]]"
Archives,1,"[['httpswww.auth.gren.txt', 3]]"
Armenian,1,"[['httpswww.auth.gren.txt', 5]]"
Assurance,1,"[['httpswww.auth.gren.txt', 5]]"
Attribution-ShareAlike,4,"[['httpauth.gr#primary.txt', 3], ['httpauth.gr.txt', 3], ['httpswww.auth.gr.txt', 3], ['httpswww.auth.gren.txt', 3]]"
Authorities,1,"[['httpswww.auth.gren.txt', 6]]"
Background,1,"[['httpswww.auth.gren.txt', 1]]"
Bodies,1,"[['httpswww.auth.gren.txt', 2]]"
By,3,"[['httpauth.gr#primary.txt', 1], ['httpauth.gr.txt', 1], ['httpswww.auth.gr.txt', 1]]"
Byzantine,1,"[['httpswww.auth.gren.txt', 14]]"
COH-FIT,3,"[['httpauth.gr#primary.txt', 1], ['httpauth.gr.txt', 1], ['httpswww.auth.gr.txt', 1]]"
Calendar,1,"[['httpswww.auth.gren.txt', 3]]"
Career,1,"[['httpswww.auth.gren.txt', 5]]"
Centre,1,"[['httpswww.auth.gren.txt', 6]]"
Centres,1,"[['httpswww.auth.gren.txt', 5]]"
Charter,1,"[['httpswww.auth.gren.txt', 3]]"
Close,4,"[['httpauth.gr#primary.txt', 1], ['httpauth.gr.txt', 1], ['httpswww.auth.gr.txt', 1], ['httpswww.auth.gren.txt', 1]]"
Collections,1,"[['httpswww.auth.gren.txt', 7]]"
Committee,1,"[['httpswww.auth.gren.txt', 2]]"
Commons,4,"[['httpauth.gr#primary.txt', 2], ['httpauth.gr.txt', 2], ['httpswww.auth.gr.txt', 2], ['httpswww.auth.gren.txt', 2]]"
Communications,1,"[['httpswww.auth.gren.txt', 8]]"
Conference,1,"[['httpswww.auth.gren.txt', 9]]"
Contact,1,"[['httpswww.auth.gren.txt', 3]]"
Context,1,"[['httpswww.auth.gren.txt', 5]]"
Contrast,1,"[['httpswww.auth.gren.txt', 2]]"
Cookie,1,"[['httpswww.auth.gren.txt', 1]]"
Cookies,3,"[['httpauth.gr#primary.txt', 1], ['httpauth.gr.txt', 1], ['httpswww.auth.gr.txt', 1]]"
Covid19,4,"[['httpauth.gr#primary.txt', 4], ['httpauth.gr.txt', 4], ['httpswww.auth.gr.txt', 4], ['httpswww.auth.gren.txt', 2]]"
Creative,4,"[['httpauth.gr#primary.txt', 2], ['httpauth.gr.txt', 2], ['httpswww.auth.gr.txt', 2], ['httpswww.auth.gren.txt', 2]]"
Credit,1,"[['httpswww.auth.gren.txt', 2]]"
Cultural,1,"[['httpswww.auth.gren.txt', 3]]"
Culture,1,"[['httpswww.auth.gren.txt', 4]]"
Data,1,"[['httpswww.auth.gren.txt', 2]]"
Datacenter,1,"[['httpsmy.auth.gr.txt', 1]]"
Decrease,1,"[['httpswww.auth.gren.txt', 1]]"
Department,1,"[['httpswww.auth.gren.txt', 3]]"
Diploma,1,"[['httpswww.auth.gren.txt', 3]]"
EDUCATION,1,"[['httpswww.auth.gren.txt', 3]]"
EN,4,"[['httpauth.gr#primary.txt', 2], ['httpauth.gr.txt', 2], ['httpswww.auth.gr.txt', 2], ['httpswww.auth.gren.txt', 2]]"
EPICUR,4,"[['httpauth.gr#primary.txt', 3], ['httpauth.gr.txt', 3], ['httpswww.auth.gr.txt', 3], ['httpswww.auth.gren.txt', 2]]"
EPICUR:,3,"[['httpauth.gr#primary.txt', 2], ['httpauth.gr.txt', 2], ['httpswww.auth.gr.txt', 2]]"
ERASMUS,3,"[['httpauth.gr#primary.txt', 2], ['httpauth.gr.txt', 2], ['httpswww.auth.gr.txt', 2]]"
Educational,1,"[['httpswww.auth.gren.txt', 8]]"
Enabled,4,"[['httpauth.gr#primary.txt', 1], ['httpauth.gr.txt', 1], ['httpswww.auth.gr.txt', 1], ['httpswww.auth.gren.txt', 1]]"
Erasmus,1,"[['httpswww.auth.gren.txt', 3]]"
Erasmus+,3,"[['httpauth.gr#primary.txt', 2], ['httpauth.gr.txt', 2], ['httpswww.auth.gr.txt', 2]]"
Erasmus+/COVID-19,3,"[['httpauth.gr#primary.txt', 3], ['httpauth.gr.txt', 3], ['httpswww.auth.gr.txt', 3]]"
European,1,"[['httpswww.auth.gren.txt', 6]]"
Excavation,1,"[['httpswww.auth.gren.txt', 8]]"
Facebook,4,"[['httpauth.gr#primary.txt', 2], ['httpauth.gr.txt', 2], ['httpswww.auth.gr.txt', 2], ['httpswww.auth.gren.txt', 2]]"
Facilities,1,"[['httpswww.auth.gren.txt', 3]]"
Faculties,1,"[['httpswww.auth.gren.txt', 3]]"
Faculty.,1,"[['httpswww.auth.gren.txt', 2]]"
Font,1,"[['httpswww.auth.gren.txt', 1]]"
Foreign,1,"[['httpswww.auth.gren.txt', 3]]"
GR,4,"[['httpauth.gr#primary.txt', 2], ['httpauth.gr.txt', 2], ['httpswww.auth.gr.txt', 2], ['httpswww.auth.gren.txt', 2]]"
Grayscale,1,"[['httpswww.auth.gren.txt', 1]]"
Greece.,1,"[['httpswww.auth.gren.txt', 1]]"
Greek,1,"[['httpswww.auth.gren.txt', 2]]"
Guide,1,"[['httpswww.auth.gren.txt', 2]]"
HOMECASTS:,3,"[['httpauth.gr#primary.txt', 1], ['httpauth.gr.txt', 1], ['httpswww.auth.gr.txt', 1]]"
Heritage,1,"[['httpswww.auth.gren.txt', 3]]"
High,1,"[['httpswww.auth.gren.txt', 1]]"
History,1,"[['httpswww.auth.gren.txt', 9]]"
"However,",4,"[['httpauth.gr#primary.txt', 1], ['httpauth.gr.txt', 1], ['httpswww.auth.gr.txt', 1], ['httpswww.auth.gren.txt', 1]]"
Humanities”,1,"[['httpswww.auth.gren.txt', 4]]"
IT,1,"[['httpsmy.auth.gr.txt', 2]]"
Increase,1,"[['httpswww.auth.gren.txt', 1]]"
Indicators,1,"[['httpswww.auth.gren.txt', 8]]"
Influence,1,"[['httpswww.auth.gren.txt', 2]]"
Information,1,"[['httpswww.auth.gren.txt', 16]]"
Initiative,1,"[['httpswww.auth.gren.txt', 3]]"
Internal,1,"[['httpswww.auth.gren.txt', 3]]"
International,1,"[['httpswww.auth.gren.txt', 10]]"
It,1,"[['httpswww.auth.gren.txt', 1]]"
July,1,"[['httpswww.auth.gren.txt', 2]]"
Kyiv...,1,"[['httpswww.auth.gren.txt', 4]]"
Language,1,"[['httpswww.auth.gren.txt', 6]]"
Learning,1,"[['httpswww.auth.gren.txt', 13]]"
Library,1,"[['httpswww.auth.gren.txt', 5]]"
License,4,"[['httpauth.gr#primary.txt', 1], ['httpauth.gr.txt', 1], ['httpswww.auth.gr.txt', 1], ['httpswww.auth.gren.txt', 1]]"
Lifelong,1,"[['httpswww.auth.gren.txt', 9]]"
Light,1,"[['httpswww.auth.gren.txt', 1]]"
LinkedIn,4,"[['httpauth.gr#primary.txt', 1], ['httpauth.gr.txt', 1], ['httpswww.auth.gr.txt', 1], ['httpswww.auth.gren.txt', 1]]"
Links,1,"[['httpswww.auth.gren.txt', 1]]"
Map,1,"[['httpswww.auth.gren.txt', 2]]"
Mission,1,"[['httpswww.auth.gren.txt', 9]]"
Modern,1,"[['httpswww.auth.gren.txt', 2]]"
More,1,"[['httpswww.auth.gren.txt', 2]]"
Museums,1,"[['httpswww.auth.gren.txt', 4]]"
National,1,"[['httpswww.auth.gren.txt', 8]]"
Negative,1,"[['httpswww.auth.gren.txt', 1]]"
"Network,",1,"[['httpswww.auth.gren.txt', 3]]"
Next,4,"[['httpauth.gr#primary.txt', 8], ['httpauth.gr.txt', 8], ['httpswww.auth.gr.txt', 8], ['httpswww.auth.gren.txt', 8]]"
OF,1,"[['httpswww.auth.gren.txt', 2]]"
Objectives,1,"[['httpswww.auth.gren.txt', 2]]"
Office,1,"[['httpswww.auth.gren.txt', 2]]"
On),1,"[['httpsmy.auth.gr.txt', 1]]"
Open,1,"[['httpswww.auth.gren.txt', 1]]"
PDMC,1,"[['httpswww.auth.gren.txt', 2]]"
People,1,"[['httpswww.auth.gren.txt', 2]]"
Personal,1,"[['httpswww.auth.gren.txt', 3]]"
Philosophical,1,"[['httpswww.auth.gren.txt', 3]]"
Philosophy:,1,"[['httpswww.auth.gren.txt', 2]]"
Policy,1,"[['httpswww.auth.gren.txt', 1]]"
Postgraduate,1,"[['httpswww.auth.gren.txt', 3]]"
Practice,1,"[['httpswww.auth.gren.txt', 3]]"
Previous,4,"[['httpauth.gr#primary.txt', 8], ['httpauth.gr.txt', 8], ['httpswww.auth.gr.txt', 8], ['httpswww.auth.gren.txt', 8]]"
Programmes,1,"[['httpswww.auth.gren.txt', 3]]"
Projects,1,"[['httpswww.auth.gren.txt', 2]]"
Protection,1,"[['httpswww.auth.gren.txt', 2]]"
Quality,1,"[['httpswww.auth.gren.txt', 3]]"
Readable,1,"[['httpswww.auth.gren.txt', 1]]"
Readings)”,1,"[['httpswww.auth.gren.txt', 9]]"
Rectorate,1,"[['httpswww.auth.gren.txt', 8]]"
Regulation,1,"[['httpswww.auth.gren.txt', 8]]"
Research,1,"[['httpswww.auth.gren.txt', 9]]"
Reset,1,"[['httpswww.auth.gren.txt', 1]]"
SAVE,4,"[['httpauth.gr#primary.txt', 1], ['httpauth.gr.txt', 1], ['httpswww.auth.gr.txt', 1], ['httpswww.auth.gren.txt', 1]]"
Schools,1,"[['httpswww.auth.gren.txt', 4]]"
Search,1,"[['httpswww.auth.gren.txt', 5]]"
Services,1,"[['httpswww.auth.gren.txt', 8]]"
"Settings""",4,"[['httpauth.gr#primary.txt', 1], ['httpauth.gr.txt', 1], ['httpswww.auth.gr.txt', 1], ['httpswww.auth.gren.txt', 1]]"
SettingsAccept,4,"[['httpauth.gr#primary.txt', 1], ['httpauth.gr.txt', 1], ['httpswww.auth.gr.txt', 1], ['httpswww.auth.gren.txt', 1]]"
Shevchenko,1,"[['httpswww.auth.gren.txt', 4]]"
Sign,1,"[['httpsmy.auth.gr.txt', 1]]"
Skip,5,"[['httpauth.gr#primary.txt', 1], ['httpauth.gr.txt', 1], ['httpsmy.auth.gr.txt', 1], ['httpswww.auth.gr.txt', 1], ['httpswww.auth.gren.txt', 2]]"
Some,1,"[['httpswww.auth.gren.txt', 1]]"
State,1,"[['httpswww.auth.gren.txt', 3]]"
Strategic,1,"[['httpswww.auth.gren.txt', 3]]"
Student,1,"[['httpswww.auth.gren.txt', 4]]"
Studies,1,"[['httpswww.auth.gren.txt', 4]]"
Summer,3,"[['httpauth.gr#primary.txt', 1], ['httpauth.gr.txt', 1], ['httpswww.auth.gr.txt', 1]]"
Supplement,1,"[['httpswww.auth.gren.txt', 2]]"
System,1,"[['httpswww.auth.gren.txt', 2]]"
TEDxAUTH,3,"[['httpauth.gr#primary.txt', 1], ['httpauth.gr.txt', 1], ['httpswww.auth.gr.txt', 1]]"
THESSALONIKI,1,"[['httpswww.auth.gren.txt', 3]]"
Teaching,1,"[['httpswww.auth.gren.txt', 13]]"
Text,1,"[['httpswww.auth.gren.txt', 2]]"
The,1,"[['httpswww.auth.gren.txt', 5]]"
Thessaloniki,1,"[['httpswww.auth.gren.txt', 7]]"
"Thessaloniki,",1,"[['httpswww.auth.gren.txt', 4]]"
Thessaloniki.,1,"[['httpswww.auth.gren.txt', 3]]"
Tools,1,"[['httpswww.auth.gren.txt', 1]]"
Transfer,1,"[['httpswww.auth.gren.txt', 4]]"
Twitter,4,"[['httpauth.gr#primary.txt', 1], ['httpauth.gr.txt', 1], ['httpswww.auth.gr.txt', 1], ['httpswww.auth.gren.txt', 1]]"
UNIVERSITY,1,"[['httpswww.auth.gren.txt', 2]]"
Ukranian,1,"[['httpswww.auth.gren.txt', 4]]"
Undergraduate,1,"[['httpswww.auth.gren.txt', 3]]"
Underline,1,"[['httpswww.auth.gren.txt', 1]]"
Unions,1,"[['httpswww.auth.gren.txt', 7]]"
Units,1,"[['httpswww.auth.gren.txt', 4]]"
Univ...,1,"[['httpswww.auth.gren.txt', 2]]"
University,1,"[['httpswww.auth.gren.txt', 11]]"
Unported,4,"[['httpauth.gr#primary.txt', 1], ['httpauth.gr.txt', 1], ['httpswww.auth.gr.txt', 1], ['httpswww.auth.gren.txt', 1]]"
Video,4,"[['httpauth.gr#primary.txt', 2], ['httpauth.gr.txt', 2], ['httpswww.auth.gr.txt', 2], ['httpswww.auth.gren.txt', 2]]"
Vision,1,"[['httpswww.auth.gren.txt', 9]]"
We,1,"[['httpswww.auth.gren.txt', 1]]"
Webinar,3,"[['httpauth.gr#primary.txt', 3], ['httpauth.gr.txt', 3], ['httpswww.auth.gr.txt', 3]]"
Workshop,1,"[['httpswww.auth.gren.txt', 5]]"
You,1,"[['httpsmy.auth.gr.txt', 1]]"
YouTube,4,"[['httpauth.gr#primary.txt', 1], ['httpauth.gr.txt', 1], ['httpswww.auth.gr.txt', 1], ['httpswww.auth.gren.txt', 1]]"
Yπηρεσίες,1,"[['httpsmy.auth.gr.txt', 1]]"
about,1,"[['httpswww.auth.gren.txt', 2]]"
administrative,1,"[['httpswww.auth.gren.txt', 3]]"
and,4,"[['httpauth.gr#primary.txt', 2], ['httpauth.gr.txt', 2], ['httpswww.auth.gr.txt', 2], ['httpswww.auth.gren.txt', 19]]"
are,1,"[['httpsmy.auth.gr.txt', 1]]"
area,1,"[['httpswww.auth.gren.txt', 4]]"
by,4,"[['httpauth.gr#primary.txt', 1], ['httpauth.gr.txt', 1], ['httpswww.auth.gr.txt', 1], ['httpswww.auth.gren.txt', 1]]"
campus,4,"[['httpauth.gr#primary.txt', 2], ['httpauth.gr.txt', 2], ['httpswww.auth.gr.txt', 2], ['httpswww.auth.gren.txt', 3]]"
centre,1,"[['httpswww.auth.gren.txt', 1]]"
cities.,1,"[['httpswww.auth.gren.txt', 1]]"
city,1,"[['httpswww.auth.gren.txt', 2]]"
clicking,4,"[['httpauth.gr#primary.txt', 1], ['httpauth.gr.txt', 1], ['httpswww.auth.gr.txt', 1], ['httpswww.auth.gren.txt', 1]]"
cloud,1,"[['httpsmy.auth.gr.txt', 1]]"
comprises,1,"[['httpswww.auth.gren.txt', 1]]"
consent,4,"[['httpauth.gr#primary.txt', 2], ['httpauth.gr.txt', 2], ['httpswww.auth.gr.txt', 2], ['httpswww.auth.gren.txt', 2]]"
consent.Cookie,4,"[['httpauth.gr#primary.txt', 2], ['httpauth.gr.txt', 2], ['httpswww.auth.gr.txt', 2], ['httpswww.auth.gren.txt', 2]]"
consist,1,"[['httpswww.auth.gren.txt', 2]]"
contemporary,1,"[['httpswww.auth.gren.txt', 7]]"
content,5,"[['httpauth.gr#primary.txt', 2], ['httpauth.gr.txt', 2], ['httpsmy.auth.gr.txt', 1], ['httpswww.auth.gr.txt', 2], ['httpswww.auth.gren.txt', 7]]"
controlled,4,"[['httpauth.gr#primary.txt', 1], ['httpauth.gr.txt', 1], ['httpswww.auth.gr.txt', 1], ['httpswww.auth.gren.txt', 1]]"
cookies,4,"[['httpauth.gr#primary.txt', 4], ['httpauth.gr.txt', 4], ['httpswww.auth.gr.txt', 4], ['httpswww.auth.gren.txt', 4]]"
cookies.,4,"[['httpauth.gr#primary.txt', 5], ['httpauth.gr.txt', 5], ['httpswww.auth.gr.txt', 5], ['httpswww.auth.gren.txt', 5]]"
covers,1,"[['httpswww.auth.gren.txt', 1]]"
days,3,"[['httpauth.gr#primary.txt', 2], ['httpauth.gr.txt', 2], ['httpswww.auth.gr.txt', 2]]"
e-Study,1,"[['httpswww.auth.gren.txt', 2]]"
e-University,1,"[['httpsmy.auth.gr.txt', 1]]"
e-Οδηγός,3,"[['httpauth.gr#primary.txt', 3], ['httpauth.gr.txt', 3], ['httpswww.auth.gr.txt', 3]]"
educational,1,"[['httpswww.auth.gren.txt', 3]]"
even,1,"[['httpswww.auth.gren.txt', 1]]"
experience,4,"[['httpauth.gr#primary.txt', 1], ['httpauth.gr.txt', 1], ['httpswww.auth.gr.txt', 1], ['httpswww.auth.gren.txt', 1]]"
f...,1,"[['httpswww.auth.gren.txt', 2]]"
facebook,1,"[['httpsmy.auth.gr.txt', 1]]"
facilities,1,"[['httpswww.auth.gren.txt', 3]]"
faculties,1,"[['httpswww.auth.gren.txt', 2]]"
for:,1,"[['httpswww.auth.gren.txt', 6]]"
give,4,"[['httpauth.gr#primary.txt', 1], ['httpauth.gr.txt', 1], ['httpswww.auth.gr.txt', 1], ['httpswww.auth.gren.txt', 1]]"
hectares.,1,"[['httpswww.auth.gren.txt', 4]]"
